Task:        font_detection
Classes:     ['Arial', 'Georgia', 'Lato', 'Merriweather', 'Montserrat', 'Nunito', 'Open Sans', 'Oswald', 'PT Sans', 'Playfair Display', 'Raleway', 'Roboto', 'Source Sans Pro', 'Times New Roman', 'Ubuntu']
Num classes: 15
Metric:      f1_macro
Time budget: 1200s

Device: cuda
Model params: 8.54M
Estimated total steps: 120000
Batch size:            64
Images per epoch:      29,952


step 00126 | loss: 2.7462 | lr: 2.54e-04 | imgs/s: 1,761 | remaining: 1189s    
step 00127 | loss: 2.7449 | lr: 2.56e-04 | imgs/s: 2,305 | remaining: 1189s    
step 00128 | loss: 2.7444 | lr: 2.58e-04 | imgs/s: 1,490 | remaining: 1189s    
step 00129 | loss: 2.7443 | lr: 2.60e-04 | imgs/s: 3,533 | remaining: 1189s    
step 00130 | loss: 2.7459 | lr: 2.62e-04 | imgs/s: 1,227 | remaining: 1189s    
step 00131 | loss: 2.7441 | lr: 2.64e-04 | imgs/s: 3,531 | remaining: 1189s    
step 00132 | loss: 2.7424 | lr: 2.66e-04 | imgs/s: 1,740 | remaining: 1189s    
step 00133 | loss: 2.7396 | lr: 2.68e-04 | imgs/s: 3,542 | remaining: 1189s    
step 00134 | loss: 2.7390 | lr: 2.70e-04 | imgs/s: 1,244 | remaining: 1189s    
step 00135 | loss: 2.7386 | lr: 2.72e-04 | imgs/s: 2,141 | remaining: 1189s    
step 00136 | loss: 2.7365 | lr: 2.74e-04 | imgs/s: 2,080 | remaining: 1189s    
step 00137 | loss: 2.7354 | lr: 2.76e-04 | imgs/s: 3,542 | remaining: 1189s    
step 00138 | loss: 2.7339 | lr: 2.78e-04 | imgs/s: 1,009 | remaining: 1189s    
step 00139 | loss: 2.7334 | lr: 2.80e-04 | imgs/s: 3,551 | remaining: 1189s    
step 00140 | loss: 2.7336 | lr: 2.82e-04 | imgs/s: 1,924 | remaining: 1189s    
step 00141 | loss: 2.7316 | lr: 2.84e-04 | imgs/s: 3,543 | remaining: 1189s    
step 00142 | loss: 2.7307 | lr: 2.86e-04 | imgs/s: 913 | remaining: 1189s    
step 00143 | loss: 2.7291 | lr: 2.88e-04 | imgs/s: 3,541 | remaining: 1189s    
step 00144 | loss: 2.7281 | lr: 2.90e-04 | imgs/s: 2,558 | remaining: 1189s    
step 00145 | loss: 2.7252 | lr: 2.92e-04 | imgs/s: 3,547 | remaining: 1189s    
step 00146 | loss: 2.7229 | lr: 2.94e-04 | imgs/s: 1,006 | remaining: 1189s    
step 00147 | loss: 2.7221 | lr: 2.96e-04 | imgs/s: 3,517 | remaining: 1188s    
step 00148 | loss: 2.7209 | lr: 2.98e-04 | imgs/s: 1,799 | remaining: 1188s    
step 00149 | loss: 2.7197 | lr: 3.00e-04 | imgs/s: 3,489 | remaining: 1188s    
step 00150 | loss: 2.7183 | lr: 3.02e-04 | imgs/s: 1,085 | remaining: 1188s    
step 00151 | loss: 2.7138 | lr: 3.04e-04 | imgs/s: 2,046 | remaining: 1188s    
step 00152 | loss: 2.7118 | lr: 3.06e-04 | imgs/s: 3,335 | remaining: 1188s    
step 00153 | loss: 2.7080 | lr: 3.08e-04 | imgs/s: 3,539 | remaining: 1188s    
step 00154 | loss: 2.7065 | lr: 3.10e-04 | imgs/s: 1,022 | remaining: 1188s    
step 00155 | loss: 2.7014 | lr: 3.12e-04 | imgs/s: 1,901 | remaining: 1188s    
step 00156 | loss: 2.7004 | lr: 3.14e-04 | imgs/s: 3,536 | remaining: 1188s    
step 00157 | loss: 2.6937 | lr: 3.16e-04 | imgs/s: 3,523 | remaining: 1188s    
step 00158 | loss: 2.6890 | lr: 3.18e-04 | imgs/s: 1,056 | remaining: 1188s    
step 00159 | loss: 2.6811 | lr: 3.20e-04 | imgs/s: 1,980 | remaining: 1188s    
step 00160 | loss: 2.6765 | lr: 3.22e-04 | imgs/s: 3,522 | remaining: 1188s    
step 00161 | loss: 2.6735 | lr: 3.24e-04 | imgs/s: 3,528 | remaining: 1188s    
step 00162 | loss: 2.6668 | lr: 3.26e-04 | imgs/s: 1,080 | remaining: 1188s    
step 00163 | loss: 2.6598 | lr: 3.28e-04 | imgs/s: -69 | remaining: 1189s    
step 00164 | loss: 2.6545 | lr: 3.30e-04 | imgs/s: 3,505 | remaining: 1189s    
step 00165 | loss: 2.6573 | lr: 3.32e-04 | imgs/s: 3,508 | remaining: 1189s    
step 00166 | loss: 2.6494 | lr: 3.34e-04 | imgs/s: 1,185 | remaining: 1189s    
step 00167 | loss: 2.6432 | lr: 3.36e-04 | imgs/s: 1,531 | remaining: 1189s    
step 00168 | loss: 2.6352 | lr: 3.38e-04 | imgs/s: 3,522 | remaining: 1189s    
step 00169 | loss: 2.6316 | lr: 3.40e-04 | imgs/s: 3,158 | remaining: 1189s    
step 00170 | loss: 2.6266 | lr: 3.42e-04 | imgs/s: 1,330 | remaining: 1189s    
step 00171 | loss: 2.6222 | lr: 3.44e-04 | imgs/s: 1,006 | remaining: 1189s    
step 00172 | loss: 2.6159 | lr: 3.46e-04 | imgs/s: 3,368 | remaining: 1189s    
step 00173 | loss: 2.6098 | lr: 3.48e-04 | imgs/s: 3,513 | remaining: 1189s    
step 00174 | loss: 2.6025 | lr: 3.50e-04 | imgs/s: 1,801 | remaining: 1189s    
step 00175 | loss: 2.5986 | lr: 3.52e-04 | imgs/s: 1,028 | remaining: 1188s    
step 00176 | loss: 2.5965 | lr: 3.54e-04 | imgs/s: 3,154 | remaining: 1188s    
step 00177 | loss: 2.5902 | lr: 3.56e-04 | imgs/s: 3,273 | remaining: 1188s    
step 00178 | loss: 2.5892 | lr: 3.58e-04 | imgs/s: 1,931 | remaining: 1188s    
step 00179 | loss: 2.5834 | lr: 3.60e-04 | imgs/s: 829 | remaining: 1188s    
step 00180 | loss: 2.5869 | lr: 3.62e-04 | imgs/s: 3,527 | remaining: 1188s    
step 00181 | loss: 2.5829 | lr: 3.64e-04 | imgs/s: 3,496 | remaining: 1188s    
step 00182 | loss: 2.5804 | lr: 3.66e-04 | imgs/s: 2,976 | remaining: 1188s    
step 00183 | loss: 2.5746 | lr: 3.68e-04 | imgs/s: 857 | remaining: 1188s    
step 00184 | loss: 2.5743 | lr: 3.70e-04 | imgs/s: 3,524 | remaining: 1188s    
step 00185 | loss: 2.5809 | lr: 3.72e-04 | imgs/s: 3,412 | remaining: 1188s    
step 00186 | loss: 2.5810 | lr: 3.74e-04 | imgs/s: 2,796 | remaining: 1188s    
step 00187 | loss: 2.5789 | lr: 3.76e-04 | imgs/s: 892 | remaining: 1188s    
step 00188 | loss: 2.5737 | lr: 3.78e-04 | imgs/s: 3,514 | remaining: 1188s    
step 00189 | loss: 2.5710 | lr: 3.80e-04 | imgs/s: 3,535 | remaining: 1188s    
step 00190 | loss: 2.5672 | lr: 3.82e-04 | imgs/s: 1,836 | remaining: 1188s    
